61.160.247.63 - - [17/Sep/2017:09:20:33 +0200] "GET / HTTP/1.1" 200 477 "http://212.237.179.231:80" "Mozilla/4.0 (compatible; MSIE 9.0; Windows NT 6.1)"
110.145.15.9 - - [17/Sep/2017:13:50:02 +0200] "GET / HTTP/1.0" 200 440 "-" "-"
188.182.160.189 - - [17/Sep/2017:14:00:53 +0200] "GET /test/writelog.php?logtext=Obtain%20IP%20188.182.160.189 HTTP/1.1" 200 205 "-" "curl/7.35.0"
207.46.13.152 - - [17/Sep/2017:15:17:42 +0200] "GET / HTTP/1.1" 200 502 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
141.212.122.96 - - [17/Sep/2017:15:26:49 +0200] "GET /x HTTP/1.1" 400 0 "-" "Telesphoreo"
178.87.142.217 - - [17/Sep/2017:15:40:49 +0200] "GET / HTTP/1.0" 200 477 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)"
212.237.134.149 - - [17/Sep/2017:15:55:03 +0200] "GET /klassefest/ HTTP/1.1" 200 1566 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_3 like Mac OS X) AppleWebKit/603.3.8 (KHTML, like Gecko) Version/10.0 Mobile/14G60 Safari/602.1"
212.237.134.149 - - [17/Sep/2017:15:55:03 +0200] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 537 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
212.237.134.149 - - [17/Sep/2017:15:55:03 +0200] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 524 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
212.237.134.149 - - [17/Sep/2017:15:55:03 +0200] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 528 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
212.237.134.149 - - [17/Sep/2017:15:55:03 +0200] "GET /apple-touch-icon.png HTTP/1.1" 404 516 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
212.237.134.149 - - [17/Sep/2017:15:55:03 +0200] "GET /favicon.ico HTTP/1.1" 404 507 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
212.237.134.149 - - [17/Sep/2017:15:55:03 +0200] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 536 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
212.237.134.149 - - [17/Sep/2017:15:55:03 +0200] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 524 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
212.237.134.149 - - [17/Sep/2017:15:55:03 +0200] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 528 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
212.237.134.149 - - [17/Sep/2017:15:55:04 +0200] "GET /apple-touch-icon.png HTTP/1.1" 404 516 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
212.237.134.149 - - [17/Sep/2017:15:55:04 +0200] "GET /favicon.ico HTTP/1.1" 404 507 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
188.182.160.189 - - [17/Sep/2017:16:00:52 +0200] "GET /test/writelog.php?logtext=Obtain%20IP%20188.182.160.189 HTTP/1.1" 200 205 "-" "curl/7.35.0"
212.237.134.149 - - [17/Sep/2017:16:49:18 +0200] "GET /klassefest/ HTTP/1.1" 200 1566 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1"
212.237.134.149 - - [17/Sep/2017:16:49:18 +0200] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 537 "-" "MobileSafari/604.1 CFNetwork/887 Darwin/17.0.0"
212.237.134.149 - - [17/Sep/2017:16:49:18 +0200] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 524 "-" "MobileSafari/604.1 CFNetwork/887 Darwin/17.0.0"
212.237.134.149 - - [17/Sep/2017:16:49:18 +0200] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 528 "-" "MobileSafari/604.1 CFNetwork/887 Darwin/17.0.0"
212.237.134.149 - - [17/Sep/2017:16:49:18 +0200] "GET /apple-touch-icon.png HTTP/1.1" 404 516 "-" "MobileSafari/604.1 CFNetwork/887 Darwin/17.0.0"
212.237.134.149 - - [17/Sep/2017:16:49:18 +0200] "GET /favicon.ico HTTP/1.1" 404 507 "-" "MobileSafari/604.1 CFNetwork/887 Darwin/17.0.0"
212.237.134.149 - - [17/Sep/2017:16:49:18 +0200] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 536 "-" "MobileSafari/604.1 CFNetwork/887 Darwin/17.0.0"
212.237.134.149 - - [17/Sep/2017:16:49:18 +0200] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 524 "-" "MobileSafari/604.1 CFNetwork/887 Darwin/17.0.0"
212.237.134.149 - - [17/Sep/2017:16:49:18 +0200] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 528 "-" "MobileSafari/604.1 CFNetwork/887 Darwin/17.0.0"
212.237.134.149 - - [17/Sep/2017:16:49:18 +0200] "GET /apple-touch-icon.png HTTP/1.1" 404 516 "-" "MobileSafari/604.1 CFNetwork/887 Darwin/17.0.0"
212.237.134.149 - - [17/Sep/2017:16:49:18 +0200] "GET /favicon.ico HTTP/1.1" 404 507 "-" "MobileSafari/604.1 CFNetwork/887 Darwin/17.0.0"
45.55.174.85 - - [17/Sep/2017:17:19:20 +0200] "GET /wp-json/ HTTP/1.1" 404 444 "-" "Mozilla/5.0 (Windows NT 8.0; WOW64; rv:50.1) Gecko/20100101 Firefox/50.1"
188.182.160.189 - - [17/Sep/2017:18:00:53 +0200] "GET /test/writelog.php?logtext=Obtain%20IP%20188.182.160.189 HTTP/1.1" 200 205 "-" "curl/7.35.0"
189.208.111.210 - - [17/Sep/2017:18:16:38 +0200] "GET / HTTP/1.0" 200 440 "-" "-"
212.237.134.149 - - [17/Sep/2017:18:29:18 +0200] "GET /klassefest/ HTTP/1.1" 200 1566 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_3 like Mac OS X) AppleWebKit/603.3.8 (KHTML, like Gecko) Version/10.0 Mobile/14G60 Safari/602.1"
212.237.134.149 - - [17/Sep/2017:18:29:18 +0200] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 537 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
212.237.134.149 - - [17/Sep/2017:18:29:18 +0200] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 524 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
212.237.134.149 - - [17/Sep/2017:18:29:18 +0200] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 528 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
212.237.134.149 - - [17/Sep/2017:18:29:18 +0200] "GET /apple-touch-icon.png HTTP/1.1" 404 516 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
212.237.134.149 - - [17/Sep/2017:18:29:18 +0200] "GET /favicon.ico HTTP/1.1" 404 507 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
212.237.134.149 - - [17/Sep/2017:18:29:18 +0200] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 536 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
212.237.134.149 - - [17/Sep/2017:18:29:19 +0200] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 524 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
212.237.134.149 - - [17/Sep/2017:18:29:19 +0200] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 528 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
212.237.134.149 - - [17/Sep/2017:18:29:19 +0200] "GET /apple-touch-icon.png HTTP/1.1" 404 516 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
212.237.134.149 - - [17/Sep/2017:18:29:19 +0200] "GET /favicon.ico HTTP/1.1" 404 507 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
188.182.160.189 - - [17/Sep/2017:20:00:53 +0200] "GET /test/writelog.php?logtext=Obtain%20IP%20188.182.160.189 HTTP/1.1" 200 205 "-" "curl/7.35.0"
212.237.134.149 - - [17/Sep/2017:20:09:47 +0200] "GET /klassefest/ HTTP/1.1" 200 1566 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1"
212.237.134.149 - - [17/Sep/2017:20:09:47 +0200] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 537 "-" "MobileSafari/604.1 CFNetwork/887 Darwin/17.0.0"
212.237.134.149 - - [17/Sep/2017:20:09:47 +0200] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 524 "-" "MobileSafari/604.1 CFNetwork/887 Darwin/17.0.0"
212.237.134.149 - - [17/Sep/2017:20:09:47 +0200] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 528 "-" "MobileSafari/604.1 CFNetwork/887 Darwin/17.0.0"
212.237.134.149 - - [17/Sep/2017:20:09:47 +0200] "GET /apple-touch-icon.png HTTP/1.1" 404 516 "-" "MobileSafari/604.1 CFNetwork/887 Darwin/17.0.0"
212.237.134.149 - - [17/Sep/2017:20:09:47 +0200] "GET /favicon.ico HTTP/1.1" 404 507 "-" "MobileSafari/604.1 CFNetwork/887 Darwin/17.0.0"
212.237.134.149 - - [17/Sep/2017:20:09:47 +0200] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 536 "-" "MobileSafari/604.1 CFNetwork/887 Darwin/17.0.0"
212.237.134.149 - - [17/Sep/2017:20:09:47 +0200] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 524 "-" "MobileSafari/604.1 CFNetwork/887 Darwin/17.0.0"
212.237.134.149 - - [17/Sep/2017:20:09:47 +0200] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 528 "-" "MobileSafari/604.1 CFNetwork/887 Darwin/17.0.0"
212.237.134.149 - - [17/Sep/2017:20:09:47 +0200] "GET /apple-touch-icon.png HTTP/1.1" 404 516 "-" "MobileSafari/604.1 CFNetwork/887 Darwin/17.0.0"
212.237.134.149 - - [17/Sep/2017:20:09:47 +0200] "GET /favicon.ico HTTP/1.1" 404 507 "-" "MobileSafari/604.1 CFNetwork/887 Darwin/17.0.0"
212.237.134.149 - - [17/Sep/2017:20:42:40 +0200] "GET /klassefest/ HTTP/1.1" 200 1566 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_3 like Mac OS X) AppleWebKit/603.3.8 (KHTML, like Gecko) Version/10.0 Mobile/14G60 Safari/602.1"
212.237.134.149 - - [17/Sep/2017:20:42:41 +0200] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 537 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
212.237.134.149 - - [17/Sep/2017:20:42:41 +0200] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 524 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
212.237.134.149 - - [17/Sep/2017:20:42:41 +0200] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 528 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
212.237.134.149 - - [17/Sep/2017:20:42:41 +0200] "GET /apple-touch-icon.png HTTP/1.1" 404 516 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
212.237.134.149 - - [17/Sep/2017:20:42:42 +0200] "GET /favicon.ico HTTP/1.1" 404 507 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
212.237.134.149 - - [17/Sep/2017:20:42:42 +0200] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 536 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
212.237.134.149 - - [17/Sep/2017:20:42:42 +0200] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 524 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
212.237.134.149 - - [17/Sep/2017:20:42:42 +0200] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 528 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
212.237.134.149 - - [17/Sep/2017:20:42:42 +0200] "GET /apple-touch-icon.png HTTP/1.1" 404 516 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
212.237.134.149 - - [17/Sep/2017:20:42:42 +0200] "GET /favicon.ico HTTP/1.1" 404 507 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
60.191.38.77 - - [17/Sep/2017:21:19:46 +0200] "GET / HTTP/1.1" 200 477 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:47.0) Gecko/20100101 Firefox/47.0"
188.182.160.189 - - [17/Sep/2017:22:00:53 +0200] "GET /test/writelog.php?logtext=Obtain%20IP%20188.182.160.189 HTTP/1.1" 200 205 "-" "curl/7.35.0"
77.72.83.111 - - [17/Sep/2017:22:09:59 +0200] "\x03" 400 0 "-" "-"
46.229.164.99 - - [17/Sep/2017:22:40:22 +0200] "GET /robots.txt HTTP/1.1" 200 282 "-" "Mozilla/5.0 (compatible; SemrushBot/1.2~bl; +http://www.semrush.com/bot.html)"
158.85.81.126 - - [17/Sep/2017:23:00:17 +0200] "GET / HTTP/1.0" 200 440 "-" "Mozilla/5.0 (Windows NT 6.1; rv:31.0) Gecko/20100101 Firefox/31.0"
212.237.134.149 - - [17/Sep/2017:23:03:22 +0200] "GET /klassefest/ HTTP/1.1" 200 1566 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1"
212.237.134.149 - - [17/Sep/2017:23:03:22 +0200] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 537 "-" "MobileSafari/604.1 CFNetwork/887 Darwin/17.0.0"
212.237.134.149 - - [17/Sep/2017:23:03:22 +0200] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 524 "-" "MobileSafari/604.1 CFNetwork/887 Darwin/17.0.0"
212.237.134.149 - - [17/Sep/2017:23:03:22 +0200] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 528 "-" "MobileSafari/604.1 CFNetwork/887 Darwin/17.0.0"
212.237.134.149 - - [17/Sep/2017:23:03:22 +0200] "GET /apple-touch-icon.png HTTP/1.1" 404 516 "-" "MobileSafari/604.1 CFNetwork/887 Darwin/17.0.0"
212.237.134.149 - - [17/Sep/2017:23:03:22 +0200] "GET /favicon.ico HTTP/1.1" 404 507 "-" "MobileSafari/604.1 CFNetwork/887 Darwin/17.0.0"
212.237.134.149 - - [17/Sep/2017:23:03:22 +0200] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 536 "-" "MobileSafari/604.1 CFNetwork/887 Darwin/17.0.0"
212.237.134.149 - - [17/Sep/2017:23:03:22 +0200] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 524 "-" "MobileSafari/604.1 CFNetwork/887 Darwin/17.0.0"
212.237.134.149 - - [17/Sep/2017:23:03:22 +0200] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 528 "-" "MobileSafari/604.1 CFNetwork/887 Darwin/17.0.0"
212.237.134.149 - - [17/Sep/2017:23:03:22 +0200] "GET /apple-touch-icon.png HTTP/1.1" 404 516 "-" "MobileSafari/604.1 CFNetwork/887 Darwin/17.0.0"
212.237.134.149 - - [17/Sep/2017:23:03:22 +0200] "GET /favicon.ico HTTP/1.1" 404 507 "-" "MobileSafari/604.1 CFNetwork/887 Darwin/17.0.0"
188.182.160.189 - - [18/Sep/2017:00:00:53 +0200] "GET /test/writelog.php?logtext=Obtain%20IP%20188.182.160.189 HTTP/1.1" 200 205 "-" "curl/7.35.0"
212.237.134.149 - - [18/Sep/2017:00:08:41 +0200] "GET /klassefest/ HTTP/1.1" 200 1566 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_3 like Mac OS X) AppleWebKit/603.3.8 (KHTML, like Gecko) Version/10.0 Mobile/14G60 Safari/602.1"
212.237.134.149 - - [18/Sep/2017:00:08:41 +0200] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 537 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
212.237.134.149 - - [18/Sep/2017:00:08:41 +0200] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 524 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
212.237.134.149 - - [18/Sep/2017:00:08:41 +0200] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 528 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
212.237.134.149 - - [18/Sep/2017:00:08:41 +0200] "GET /apple-touch-icon.png HTTP/1.1" 404 516 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
212.237.134.149 - - [18/Sep/2017:00:08:41 +0200] "GET /favicon.ico HTTP/1.1" 404 507 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
212.237.134.149 - - [18/Sep/2017:00:08:41 +0200] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 536 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
212.237.134.149 - - [18/Sep/2017:00:08:41 +0200] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 524 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
212.237.134.149 - - [18/Sep/2017:00:08:41 +0200] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 528 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
212.237.134.149 - - [18/Sep/2017:00:08:41 +0200] "GET /apple-touch-icon.png HTTP/1.1" 404 516 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
212.237.134.149 - - [18/Sep/2017:00:08:41 +0200] "GET /favicon.ico HTTP/1.1" 404 507 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
212.237.134.149 - - [18/Sep/2017:00:26:11 +0200] "GET /klassefest/ HTTP/1.1" 200 1566 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1"
212.237.134.149 - - [18/Sep/2017:00:26:11 +0200] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 537 "-" "MobileSafari/604.1 CFNetwork/887 Darwin/17.0.0"
212.237.134.149 - - [18/Sep/2017:00:26:11 +0200] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 524 "-" "MobileSafari/604.1 CFNetwork/887 Darwin/17.0.0"
212.237.134.149 - - [18/Sep/2017:00:26:11 +0200] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 528 "-" "MobileSafari/604.1 CFNetwork/887 Darwin/17.0.0"
212.237.134.149 - - [18/Sep/2017:00:26:11 +0200] "GET /apple-touch-icon.png HTTP/1.1" 404 516 "-" "MobileSafari/604.1 CFNetwork/887 Darwin/17.0.0"
212.237.134.149 - - [18/Sep/2017:00:26:11 +0200] "GET /favicon.ico HTTP/1.1" 404 507 "-" "MobileSafari/604.1 CFNetwork/887 Darwin/17.0.0"
212.237.134.149 - - [18/Sep/2017:00:26:11 +0200] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 536 "-" "MobileSafari/604.1 CFNetwork/887 Darwin/17.0.0"
212.237.134.149 - - [18/Sep/2017:00:26:11 +0200] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 524 "-" "MobileSafari/604.1 CFNetwork/887 Darwin/17.0.0"
212.237.134.149 - - [18/Sep/2017:00:26:11 +0200] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 528 "-" "MobileSafari/604.1 CFNetwork/887 Darwin/17.0.0"
212.237.134.149 - - [18/Sep/2017:00:26:11 +0200] "GET /apple-touch-icon.png HTTP/1.1" 404 516 "-" "MobileSafari/604.1 CFNetwork/887 Darwin/17.0.0"
212.237.134.149 - - [18/Sep/2017:00:26:11 +0200] "GET /favicon.ico HTTP/1.1" 404 507 "-" "MobileSafari/604.1 CFNetwork/887 Darwin/17.0.0"
180.76.15.12 - - [18/Sep/2017:01:25:01 +0200] "GET /robots.txt HTTP/1.1" 200 282 "-" "Mozilla/5.0 (Windows NT 5.1; rv:6.0.2) Gecko/20100101 Firefox/6.0.2"
188.182.160.189 - - [18/Sep/2017:02:00:53 +0200] "GET /test/writelog.php?logtext=Obtain%20IP%20188.182.160.189 HTTP/1.1" 200 205 "-" "curl/7.35.0"
157.55.39.3 - - [18/Sep/2017:02:51:41 +0200] "GET /robots.txt HTTP/1.1" 200 319 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
207.46.13.152 - - [18/Sep/2017:03:38:20 +0200] "GET / HTTP/1.1" 200 502 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
188.182.160.189 - - [18/Sep/2017:04:00:54 +0200] "GET /test/writelog.php?logtext=Obtain%20IP%20188.182.160.189 HTTP/1.1" 200 205 "-" "curl/7.35.0"
155.94.88.58 - - [18/Sep/2017:04:21:02 +0200] "GET / HTTP/1.0" 200 440 "-" "sysscan/1.0 (https://github.com/robertdavidgraham/sysscan)"
36.71.121.210 - - [18/Sep/2017:04:42:22 +0200] "GET / HTTP/1.0" 200 440 "-" "-"
188.182.160.189 - - [18/Sep/2017:06:00:54 +0200] "GET /test/writelog.php?logtext=Obtain%20IP%20188.182.160.189 HTTP/1.1" 200 205 "-" "curl/7.35.0"
77.241.137.127 - - [18/Sep/2017:07:57:11 +0200] "GET /klassefest/ HTTP/1.1" 200 1566 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_3 like Mac OS X) AppleWebKit/603.3.8 (KHTML, like Gecko) Version/10.0 Mobile/14G60 Safari/602.1"
77.241.137.127 - - [18/Sep/2017:07:57:11 +0200] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 537 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
77.241.137.127 - - [18/Sep/2017:07:57:11 +0200] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 524 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
77.241.137.127 - - [18/Sep/2017:07:57:11 +0200] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 528 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
77.241.137.127 - - [18/Sep/2017:07:57:11 +0200] "GET /apple-touch-icon.png HTTP/1.1" 404 516 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
77.241.137.127 - - [18/Sep/2017:07:57:11 +0200] "GET /favicon.ico HTTP/1.1" 404 507 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
77.241.137.127 - - [18/Sep/2017:07:57:11 +0200] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 536 "-" "MobileSafari/602.1 CFNetwork/811.5.4 Darwin/16.7.0"
